2019-08-31,High Demand
2019-09-01,
2019-09-02,Moderate Demand
2019-09-03,Moderate Demand
2019-09-04,Moderate Demand
2019-09-05,Low Demand
2019-09-06,Moderate Demand
2019-09-07,Moderate Demand
2019-09-08,High Demand
2019-09-09,High Demand
2019-09-10,Moderate Demand
2019-09-11,Moderate Demand
2019-09-12,Moderate Demand
2019-09-13,Moderate Demand
2019-09-14,Moderate Demand
2019-09-15,High Demand
2019-09-16,High Demand
2019-09-17,Moderate Demand
2019-09-18,Moderate Demand
2019-09-19,Low Demand
2019-09-20,Moderate Demand
2019-09-21,Moderate Demand
2019-09-22,High Demand
2019-09-23,Moderate Demand
2019-09-24,Moderate Demand
2019-09-25,Moderate Demand
2019-09-26,Moderate Demand
2019-09-27,Moderate Demand
2019-09-28,Moderate Demand
2019-09-29,High Demand
2019-09-30,Moderate Demand
2019-10-01,Moderate Demand
2019-10-02,Low Demand
2019-10-03,Moderate Demand
2019-10-04,Moderate Demand
2019-10-05,Moderate Demand
2019-10-06,
2019-10-07,Moderate Demand
2019-10-08,Moderate Demand
2019-10-09,Low Demand
2019-10-10,Moderate Demand
2019-10-11,Moderate Demand
2019-10-12,High Demand
2019-10-13,High Demand
2019-10-14,Moderate Demand
2019-10-15,Moderate Demand
2019-10-16,Moderate Demand
2019-10-17,Moderate Demand
2019-10-18,Moderate Demand
2019-10-19,High Demand
2019-10-20,Moderate Demand
2019-10-21,Moderate Demand
2019-10-22,Moderate Demand
2019-10-23,Moderate Demand
2019-10-24,Moderate Demand
2019-10-25,Moderate Demand
2019-10-26,High Demand
2019-10-27,Moderate Demand
2019-10-28,Moderate Demand
2019-10-29,Moderate Demand
2019-10-30,Moderate Demand
2019-10-31,Moderate Demand
2019-11-01,Moderate Demand
2019-11-02,Moderate Demand
2019-11-03,Moderate Demand
2019-11-04,Moderate Demand
2019-11-05,Moderate Demand
2019-11-06,Moderate Demand
2019-11-07,Moderate Demand
2019-11-08,Moderate Demand
2019-11-09,Moderate Demand
2019-11-10,Moderate Demand
2019-11-11,High Demand
2019-11-12,Moderate Demand
2019-11-13,Moderate Demand
2019-11-14,Moderate Demand
2019-11-15,Moderate Demand
2019-11-16,Moderate Demand
2019-11-17,Moderate Demand
2019-11-18,Moderate Demand
2019-11-19,Moderate Demand
2019-11-20,Moderate Demand
2019-11-21,Moderate Demand
2019-11-22,Moderate Demand
2019-11-23,High Demand
2019-11-24,High Demand
2019-11-25,Moderate Demand
2019-11-26,Moderate Demand
2019-11-27,Moderate Demand
2019-11-28,Moderate Demand
2019-11-29,Moderate Demand
2019-11-30,High Demand
2019-12-01,Moderate Demand
2019-12-02,Moderate Demand
2019-12-03,Moderate Demand
2019-12-04,Moderate Demand
2019-12-05,Moderate Demand
2019-12-06,Moderate Demand
2019-12-07,Moderate Demand
2019-12-08,Moderate Demand
2019-12-09,Moderate Demand
2019-12-10,Moderate Demand
2019-12-11,Moderate Demand
2019-12-12,Moderate Demand
2019-12-13,Moderate Demand
2019-12-14,Moderate Demand
2019-12-15,Moderate Demand
2019-12-16,Moderate Demand
2019-12-17,Moderate Demand
2019-12-18,Moderate Demand
2019-12-19,Moderate Demand
2019-12-20,Moderate Demand
2019-12-21,Moderate Demand
2019-12-22,Moderate Demand
2019-12-23,Moderate Demand
2019-12-24,Moderate Demand
2019-12-25,Moderate Demand
2019-12-26,Moderate Demand
2019-12-27,Moderate Demand
2019-12-28,Moderate Demand
2019-12-29,High Demand
2019-12-30,Moderate Demand
2019-12-31,Moderate Demand
2020-01-01,Moderate Demand
2020-01-02,Moderate Demand
2020-01-03,Moderate Demand
2020-01-04,Moderate Demand
2020-01-05,Moderate Demand
2020-01-06,Moderate Demand
2020-01-07,Moderate Demand
2020-01-08,Moderate Demand
2020-01-09,Moderate Demand
2020-01-10,Moderate Demand
2020-01-11,Moderate Demand
2020-01-12,Moderate Demand
